colour	linetype	x	y	group
#F8766D	solid	0.144030668127022	0.423076923076923	1
#F8766D	22	0.144030668127022	0.0594405594405594	4
#7CAE00	22	0.144030668127022	0.269230769230769	5
#7CAE00	22	0.636911281489607	0.227272727272727	5
#7CAE00	22	0.855969331872978	0.423076923076923	5
#00BFC4	solid	0.144030668127022	0.115384615384615	2
#00BFC4	22	0.144030668127022	0.940559440559441	6
#00BFC4	22	0.636911281489607	0.954545454545455	6
#00BFC4	22	0.855969331872978	0.702797202797203	6
#C77CFF	solid	0.144030668127022	0.241258741258741	3
#C77CFF	22	0.144030668127022	0.548951048951049	7
#C77CFF	22	0.636911281489607	0.493006993006993	7
#C77CFF	22	0.855969331872978	0.437062937062937	7
