alpha	x	y	clickSelects	group	ymin	ymax	xmin	xmax
0.55	0.144030668127022	0.954545454545455	2014_09_24	1	0.0454545454545455	0.954545454545455	0.0454545454545455	0.242606790799499
0.55	0.144030668127022	0.954545454545455	2014_09_24	1	0.0454545454545455	0.954545454545455	0.0454545454545455	0.242606790799499
0.55	0.144030668127022	0.954545454545455	2014_09_24	1	0.0454545454545455	0.954545454545455	0.0454545454545455	0.242606790799499
0.55	0.636911281489607	0.954545454545455	2014_10_03	2	0.0454545454545455	0.954545454545455	0.53833515881713	0.735487404162084
0.55	0.855969331872978	0.954545454545455	2014_10_07	3	0.0454545454545455	0.954545454545455	0.757393209200501	0.954545454545455
0.55	0.144030668127022	0.954545454545455	2014_09_24	1	0.0454545454545455	0.954545454545455	0.0454545454545455	0.242606790799499
0.55	0.144030668127022	0.954545454545455	2014_09_24	1	0.0454545454545455	0.954545454545455	0.0454545454545455	0.242606790799499
0.55	0.636911281489607	0.954545454545455	2014_10_03	2	0.0454545454545455	0.954545454545455	0.53833515881713	0.735487404162084
0.55	0.855969331872978	0.954545454545455	2014_10_07	3	0.0454545454545455	0.954545454545455	0.757393209200501	0.954545454545455
0.55	0.144030668127022	0.954545454545455	2014_09_24	1	0.0454545454545455	0.954545454545455	0.0454545454545455	0.242606790799499
0.55	0.144030668127022	0.954545454545455	2014_09_24	1	0.0454545454545455	0.954545454545455	0.0454545454545455	0.242606790799499
0.55	0.636911281489607	0.954545454545455	2014_10_03	2	0.0454545454545455	0.954545454545455	0.53833515881713	0.735487404162084
0.55	0.855969331872978	0.954545454545455	2014_10_07	3	0.0454545454545455	0.954545454545455	0.757393209200501	0.954545454545455
