colour	linetype	x	y	group
#F8766D	solid	0.10474308300396	0.188995215311005	1
#F8766D	solid	0.763504611330693	0.635566188197767	1
#F8766D	22	0.236495388669307	0.0773524720893142	3
#7CAE00	22	0.236495388669307	0.236842105263158	4
#7CAE00	22	0.89525691699604	0.332535885167464	4
#00BFC4	22	0.236495388669307	0.954545454545454	5
#00BFC4	22	0.89525691699604	0.842902711323764	5
#C77CFF	solid	0.10474308300396	0.157097288676236	2
#C77CFF	solid	0.763504611330693	0.364433811802233	2
#C77CFF	22	0.236495388669307	0.587719298245614	6
#C77CFF	22	0.89525691699604	0.507974481658692	6
